Project Name,Package Name,Type Name,Method Name,Code Smell
homework-3,(default package),Item,mul,Complex Method
homework-3,(default package),Item,mul,Long Statement
homework-3,(default package),Item,mul,Long Statement
homework-3,(default package),Item,sub,Long Statement
homework-3,(default package),Item,sub,Long Statement
homework-3,(default package),Item,sub,Long Statement
homework-3,(default package),Item,add,Long Statement
homework-3,(default package),Item,add,Long Statement
homework-3,(default package),Item,toString,Complex Method
homework-3,(default package),Item,hashmapSort,Complex Method
homework-3,(default package),Item,hashmapSort,Long Statement
homework-3,(default package),Item,hashmapSort,Long Statement
homework-3,(default package),Item,compare,Complex Method
homework-3,(default package),Item,compare,Long Statement
homework-3,(default package),Item,compare,Long Statement
homework-3,(default package),Item,getUp,Complex Method
homework-3,(default package),Item,toString1,Complex Method
homework-3,(default package),Item,getUp1,Complex Method
homework-3,(default package),Lexer,prepreProcess,Magic Number
homework-3,(default package),Lexer,prepreProcess,Magic Number
homework-3,(default package),Lexer,next,Complex Method
homework-3,(default package),Lexer,next,Magic Number
homework-3,(default package),MainClass,main,Long Statement
homework-3,(default package),MainClass,calculate,Complex Method
homework-3,(default package),MainClass,calculate,Magic Number
homework-3,(default package),SelfDefineFun,substituteInto,Complex Method
homework-3,(default package),SelfDefineFun,substituteInto,Magic Number
homework-3,(default package),SelfDefineFun,check,Magic Number
homework-3,(default package),SumFun,substituteInto,Complex Method
homework-3,(default package),SumFun,substituteInto,Magic Number
homework-3,(default package),SumFun,substituteInto,Magic Number
homework-3,(default package),SumFun,substituteInto,Magic Number
homework-3,(default package),SumFun,substituteInto,Magic Number
homework-3,(default package),TriSimplify,simplify,Complex Method
homework-3,(default package),TriSimplify,simplify3,Complex Conditional
homework-3,(default package),TriSimplify,simplify3,Complex Method
homework-3,(default package),TriSimplify,simplify3,Long Statement
homework-3,(default package),TriSimplify,simplify3,Magic Number
homework-3,(default package),TriSimplify,simplify3,Magic Number
homework-3,(default package),TriSimplify,simplify3,Magic Number
homework-3,(default package),TriSimplify,delete3,Long Parameter List
homework-3,(default package),TriSimplify,simplify2,Complex Method
homework-3,(default package),TriSimplify,delete2,Complex Method
homework-3,(default package),TriSimplify,delete2,Long Parameter List
homework-3,(default package),TriSimplify,simplify1,Complex Method
homework-3,(default package),TriSimplify,simplify1,Magic Number
homework-3,(default package),TriSimplify,simplify1,Magic Number
homework-3,(default package),TriSimplify,hashmapSort,Complex Method
homework-3,(default package),TriSimplify,hashmapSort,Long Statement
homework-3,(default package),TriSimplify,hashmapSort,Long Statement
homework-3,(default package),TriSimplify,compare,Complex Method
homework-3,(default package),TriSimplify,compare,Long Statement
homework-3,(default package),TriSimplify,compare,Long Statement
